duration,rms,max_amplitude,min_amplitude,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,zcr_mean,zcr_std,spectral_contrast_mean,spectral_contrast_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,harmonic_ratio,percussive_ratio,pitch_mean,pitch_std,pitch_range,tempo,beat_strength,dominant_freq,freq_peak_concentration,low_freq_energy,mid_freq_energy,high_freq_energy,class,file_path,file_name,predicted_class,confidence,entropy
8.1,0.07589371,0.5479126,0.0,1783.171951318905,684.5565909734672,2602.807246709973,850.8405358050165,2703.770626813346,1296.0132385554546,0.0071442155,0.07583846,0.04603632736943907,0.021847145092482763,18.7005768742748,9.683850885421883,-479.97742,62.318596,93.91262,13.440058,2.0633652,42.187626,-1.7865012,5.347805,0.9165734,7.176287,4.472579,10.679431,3.0612278,5.9246163,-8.632212,12.975384,-6.129102,11.76703,-0.6148908,8.868691,-1.4989625,7.468314,-1.7814587,4.801153,1.3609588,4.4375453,0.9989489652870122,0.0002426394799145741,1147.9288,706.5333,3817.8064,[53.83300781],0.3333333333333333,585.3333333333333,537.1107482012749,0.0001322777292250897,0.9732633480215678,0.026604374249207308,khean,dataset\khean-ss1\Recording_164.wav,Recording_164.wav,khong_vong,0.37201127409935,0.5786293312170637
6.8,0.112664275,0.70474243,0.0,1741.3363167964173,681.9797453421909,2181.8084495919534,973.1230692561163,2654.914829394342,1257.2743667699,0.006509566,0.06980204,0.049856632313829786,0.017291230470677696,21.72692486317318,11.342659437346708,-433.2376,83.57904,91.812004,18.284693,-22.633263,51.895367,1.9092734,7.7993445,-2.1492913,7.715312,-0.8190056,9.3576145,1.6019672,4.303246,-13.746305,12.194589,-10.412103,10.379434,-8.858168,10.903884,-8.58555,10.1530905,-8.928903,8.99031,-6.7764683,7.8892646,0.9960687747334922,0.0011724840346203319,1294.5157,762.80426,3730.5547,[143.5546875],0.16666666666666666,490.8333333333333,481.00520440704867,3.1994685240715494e-05,0.8924179290284757,0.10755007628628341,khean,dataset\khean-ss1\Recording_165.wav,Recording_165.wav,khean,0.9947625994682312,0.018592533196913227
6.9,0.105844766,0.77334595,0.0,2071.339332375604,1006.6819270232272,2611.7846801833734,968.0266086024932,3013.2323274298838,2049.183803050089,0.0078912405,0.06851526,0.0565339020188588,0.03428327378317484,19.946738953345637,11.217859430309682,-459.61945,65.11277,59.279964,16.307413,-6.533822,41.16121,5.9653897,6.349545,-4.3323073,9.089327,0.3225238,6.626049,-8.828489,14.3133745,-11.264977,14.054799,4.838518,7.102309,16.047743,16.742125,17.40012,18.194069,7.2888174,9.008582,-5.9032426,6.7868366,0.9989882391228865,0.0003186439875629828,1255.1925,751.8412,3840.3381,[20.03088663],0.16666666666666666,884.5,586.6255594026264,3.046100765167211e-05,0.891107177578915,0.10886236141343356,khean,dataset\khean-ss1\Recording_166.wav,Recording_166.wav,khean,0.9990018010139465,0.004134329505392533
6.3,0.09725638,0.87005615,0.0,1659.1415451284142,600.0638536070068,2262.246540738432,1012.4448900258901,2568.4488145249034,1134.1764445497422,0.0071246615,0.07630589,0.05269281914893617,0.022337906642669055,20.24134132989741,9.757721404123352,-447.69885,78.346794,91.65667,30.252241,-5.0421586,40.10816,-3.6889102,9.940542,-1.1047798,9.26573,-4.783905,14.833413,-0.17368162,6.247105,-7.716901,8.878019,-7.9556975,9.948114,-0.7286135,4.9812255,-7.6238465,9.028202,-17.387936,18.17089,-12.43512,14.016356,0.9973001313440725,0.0005340197812060137,1217.7415,713.0232,3843.6956,[26.50240385],0.16666666666666666,442.8333333333333,835.5897159092691,4.453229714015309e-05,0.7065452523496897,0.2934102153531703,khean,dataset\khean-ss1\Recording_167.wav,Recording_167.wav,khean,0.9576037526130676,0.11297606581557645
6.4,0.10059518,0.6611023,0.0,1680.497516252345,901.3556795477806,2270.8180745848626,982.1761625973846,2852.5454847678916,1738.2237322951344,0.006402852,0.070046656,0.04190152018858801,0.02077974498034399,21.812156487810753,10.673301352144609,-455.37198,77.8484,100.40768,22.070889,-3.1085486,45.545338,3.6044364,8.5781355,1.172945,10.873275,-3.8012927,17.917648,0.07000815,7.846784,-5.7791004,8.304927,-5.0336747,8.943241,-3.1402872,7.914416,-1.633256,4.9916625,3.964787,7.3438845,9.616994,14.519571,0.9973659372461412,0.0007440762241219069,1081.1586,760.2695,3839.6018,[25.20960366],0.16666666666666666,654.3333333333333,299.5918779495421,0.00017187338731581355,0.9386848516029493,0.06114327500973488,khean,dataset\khean-ss1\Recording_168.wav,Recording_168.wav,khean,0.9928234815597534,0.023572318065960617
6.9,0.075679034,0.48220825,0.0,1833.5756153945117,574.0678157568656,2219.027866621093,772.10811560426,2715.5160103360736,1058.931916615624,0.0071439287,0.07843256,0.0491936275991296,0.02258715279582058,21.523050842093053,10.609827121410495,-470.59927,75.263535,97.84575,15.397206,-12.03595,45.229454,5.0574465,14.434549,-3.2301407,12.187734,1.571193,9.489671,-3.634983,7.507702,-13.326409,12.317618,-6.934034,8.647542,1.3366709,5.254893,11.225642,9.407565,13.473159,12.655966,17.230423,17.223629,0.9972505454536266,0.0009305677095488631,1241.6761,799.7511,3710.9937,[73.828125],0.5,1492.1666666666665,558.326579312383,0.00012604619850215836,0.6094179523091791,0.3904560014923185,khean,dataset\khean-ss1\Recording_169.wav,Recording_169.wav,khean,0.9907207489013672,0.02738955059703429
6.4,0.102651596,0.8906555,0.0,1783.437198035981,745.667803690159,2062.8687147422997,1112.3851710748256,2861.750200223646,1521.1437361368157,0.0064720134,0.06740359,0.05360893677466151,0.014836800429222887,21.367173432977747,10.250203247653747,-418.11826,104.82136,122.05641,34.806416,-46.339607,62.902977,-23.19263,19.87306,-2.3004758,11.621879,-0.87041986,11.328711,1.2549382,5.139202,-17.116257,14.282225,-18.611774,18.780281,-12.270542,14.790665,-12.686831,12.514635,-13.077655,11.19892,-6.8261304,7.3434906,0.9897439812020781,0.0024719118774134256,1395.004,789.84546,3809.7698,[92.28515625],0.6666666666666666,491.5,863.639830407715,4.179293381351883e-05,0.8467527196765289,0.15320548738965756,khean,dataset\khean-ss1\Recording_170.wav,Recording_170.wav,khean,0.9938079714775085,0.01982390910251341
7.6,0.099595346,0.85092163,0.0,1796.1810967920292,860.7618632424526,2184.730439983021,1088.1286645688388,2946.2586511726304,1641.1086803578019,0.006657324,0.06858555,0.04794034090909091,0.016927734419717712,19.918802575192238,9.165716545061905,-409.27402,121.04479,135.84392,38.50043,-41.671383,71.001785,-24.968685,24.132854,-13.20553,21.15404,-12.838827,26.01804,-8.196245,11.477663,-16.475744,15.257688,-6.2601852,9.103553,-0.110795334,5.505954,-6.0340767,7.7721567,-2.6086867,8.180613,0.56397045,8.262666,0.9683947950758203,0.006139050346709659,1313.3916,794.96387,3832.6538,[56.79086538],0.5,492.0,293.34806260368134,6.818587735641037e-05,0.8929760465150439,0.10695576760759964,khean,dataset\khean-ss1\Recording_171.wav,Recording_171.wav,khean,0.9990567564964294,0.003976595283376933
7.4,0.09609621,0.8423462,0.0,1836.0112420693492,906.5190148015532,2290.0653501404154,1113.855117098971,2887.8232856322534,1890.449772914468,0.0070179272,0.07056133,0.04831528801982592,0.012700300627926263,19.909046740356263,8.971222066359129,-418.5819,118.73549,130.58934,35.368145,-35.201538,63.57797,-19.504354,16.247814,-4.5568986,12.509976,-7.47478,18.490559,-15.5871315,17.44313,-23.528337,21.132874,-21.790514,22.739138,-11.520882,15.090104,5.239383,7.6556253,6.6976323,8.541271,4.0514307,6.8082924,0.9804098102798795,0.004274682418032409,1291.4629,743.89813,3846.9297,[78.30255682],0.6666666666666666,443.5,684.9096552344208,4.899779438925482e-05,0.7948224525398353,0.2051285496657753,khean,dataset\khean-ss1\Recording_172.wav,Recording_172.wav,khean,0.98326575756073,0.046926263788666975
7.7,0.088012025,0.8675537,0.0,1826.102356513034,818.237745569188,2127.7214878408195,1107.9378212754061,2970.1659211798838,1691.1045297409414,0.008093231,0.077894025,0.05077463884187621,0.012912296697950807,18.994996448832772,8.199627634885942,-400.14728,124.53948,150.08197,41.62216,-47.77629,63.820335,-26.09291,20.438288,-6.0374646,14.034865,-11.566797,21.459742,-21.562721,20.024923,-24.994394,21.688927,-17.92231,18.003347,-11.795546,12.751937,3.4469206,5.8433166,4.196051,6.8374276,-0.99995464,3.9951706,0.9348126018011453,0.011472581665230793,1414.144,843.0524,3843.0085,[215.33203125],1.6666666666666667,444.0,377.8008161275815,5.70913494526531e-05,0.8500512035037833,0.14989170514676406,khean,dataset\khean-ss1\Recording_173.wav,Recording_173.wav,khean,0.7608018517494202,0.2866336237265383
